,city,lattitude,longitude,max_temp,humidity,cloudiness,wind_speed,country,date
179,Pokaran,26.9167,71.9167,96.19,30,98,15.12,IN,1630064328
180,Kota Bharu,6.1333,102.2386,78.26,86,67,1.61,MY,1630064328
181,Cidreira,-30.1811,-50.2056,56.7,72,1,1.1,BR,1630064329
182,Norman Wells,65.282,-126.8329,51.84,93,75,3.44,CA,1630064329
183,Yokadouma,3.5167,15.05,88.34,50,41,2.95,CM,1630064329
184,Bela Vista,-22.1089,-56.5211,61.03,92,100,3.49,BR,1630064330
185,Yangliuqing,39.1375,116.9997,82.35,67,3,3.0,CN,1630064330
186,Yankton,42.8711,-97.3973,68.25,94,1,9.22,US,1630064330
187,Saint George,37.1041,-113.5841,66.79,30,1,0.0,US,1630064330
188,Gashua,12.871,11.0482,93.0,40,49,7.05,NG,1630064331
189,Portland,45.5234,-122.6762,61.66,82,8,0.92,US,1630064279
190,Saint-Augustin,51.226,-58.6502,63.63,96,100,12.39,CA,1630064331
191,Deputatsky,69.3,139.9,44.96,93,100,6.22,RU,1630064332
192,São Filipe,14.8961,-24.4956,79.11,82,58,8.99,CV,1630064332
193,Hoquiam,46.9809,-123.8893,57.99,1,20,3.6,US,1630064332
194,Ponta do Sol,32.6667,-17.1,81.72,72,47,4.29,PT,1630064333
195,Nouadhibou,20.931,-17.0347,79.41,60,18,12.48,MR,1630064333
196,Airai,-8.9266,125.4092,58.1,86,100,3.53,TL,1630064334
197,Saint-Pierre,-21.3393,55.4781,74.84,82,75,31.07,RE,1630064334
198,Soni,-4.85,38.3667,79.21,28,18,7.96,TZ,1630064334
199,Alindao,5.0267,21.2088,87.91,53,93,4.0,CF,1630064335
200,Kiryat Gat,31.61,34.7642,100.4,44,4,14.76,IL,1630064335
201,Shegaon,20.7833,76.6833,85.87,59,51,8.12,IN,1630064335
202,Huangcun,30.0145,118.4037,74.35,97,75,4.88,CN,1630064336
203,Aketi,2.7388,23.7833,95.83,35,89,2.1,CD,1630064336
204,Dingle,10.9995,122.6711,76.98,90,96,5.3,PH,1630064336
205,Tías,28.9611,-13.645,76.68,69,20,11.5,ES,1630064337
206,Ahipara,-35.1667,173.1667,58.6,95,99,13.8,NZ,1630064337
207,Basoko,1.2391,23.616,92.48,41,50,3.8,CD,1630064337
208,Kyshtovka,56.555,76.6271,81.41,49,6,3.85,RU,1630064338
209,Iskateley,67.6803,53.1512,50.86,61,100,14.41,RU,1630064338
210,Kapit,2.0167,112.9333,75.78,94,90,1.57,MY,1630064339
211,Āreka,7.0667,37.7,74.8,58,20,5.21,ET,1630064339
212,La Ronge,55.1001,-105.2842,53.85,76,40,8.05,CA,1630064339
213,Skjervøy,70.0311,20.9714,62.6,71,51,6.46,NO,1630064340
214,Beyneu,45.3167,55.2,95.72,18,66,13.65,KZ,1630064340
215,Kerema,-7.9631,145.7785,78.55,90,40,0.67,PG,1630064340
216,Daru,-9.0763,143.2092,78.3,89,97,15.08,PG,1630064341
217,Lieksa,63.3167,30.0167,62.24,50,6,6.46,FI,1630064341
218,Akşehir,38.3575,31.4164,91.98,16,0,8.03,TR,1630064341
219,Zatoka,46.0725,30.4654,75.74,70,98,7.02,UA,1630064342
220,Yate,51.5407,-2.4184,64.24,72,35,9.28,GB,1630064342
221,San Patricio,28.017,-97.5169,80.83,80,42,3.04,US,1630064342
222,Barinas,8.6226,-70.2075,73.09,78,23,3.53,VE,1630064343
223,Sibolga,1.7427,98.7792,78.39,84,39,0.54,ID,1630064343
224,Yugorsk,61.3133,63.3319,56.5,47,74,10.54,RU,1630064343
225,Kahului,20.8947,-156.47,75.22,81,90,18.41,US,1630064344
226,Vardø,70.3705,31.1107,61.0,58,0,14.97,NO,1630064344
227,Matamoros,25.5333,-103.25,70.11,65,5,5.3,MX,1630064344
228,Narsaq,60.9167,-46.05,46.62,78,19,2.51,GL,1630064345
229,Chui,-33.6971,-53.4616,50.16,63,1,9.95,UY,1630064345
230,Lompoc,34.6391,-120.4579,57.63,94,90,0.0,US,1630064345
231,Nome,64.5011,-165.4064,35.67,80,1,0.0,US,1630064346
232,Port Lincoln,-34.7333,135.8667,55.87,80,74,17.78,AU,1630064346
233,Gazojak,41.1875,61.4036,99.23,12,0,14.99,TM,1630064346
234,Rio Grande,-32.035,-52.0986,53.51,73,0,8.19,BR,1630064347
235,Mauá,-23.6678,-46.4614,60.6,94,100,7.05,BR,1630064347
236,Zhigansk,66.7697,123.3711,38.01,97,100,15.41,RU,1630064347
237,Shunyi,40.125,116.6453,73.35,60,0,4.47,CN,1630064348
238,Whitecourt,54.1502,-115.6855,47.16,93,100,3.36,CA,1630064348
239,Paamiut,61.994,-49.6678,43.07,80,47,8.57,GL,1630064348
240,Ostrovnoy,68.0531,39.5131,58.57,54,29,15.5,RU,1630064349
241,Goderich,43.7501,-81.7165,67.91,88,64,8.05,CA,1630064349
242,Martinho Campos,-19.3317,-45.2369,76.91,40,50,6.2,BR,1630064349
243,Trzcianka,53.0406,16.4563,64.45,56,92,5.73,PL,1630064350
244,West Wendover,40.7391,-114.0733,60.01,31,1,3.44,US,1630064350
245,Saint-Benoît,-21.038,55.7194,75.27,84,58,22.01,RE,1630064350
246,Barabai,-2.5833,115.3833,73.89,98,100,2.08,ID,1630064351
247,Iqaluit,63.7506,-68.5145,46.13,93,90,8.05,CA,1630064351
248,Kavaratti,10.5669,72.642,79.75,83,100,23.44,IN,1630064351
249,Simao,22.7886,100.9748,66.36,95,100,1.79,CN,1630064352
250,Nishihara,26.1842,127.7558,83.48,76,40,6.91,JP,1630064352
251,Kudat,6.8837,116.8477,78.73,89,40,2.3,MY,1630064352
252,Kondinskoye,59.6481,67.41,62.96,45,66,10.8,RU,1630064353
253,Barranca,-10.75,-77.7667,60.49,86,100,6.51,PE,1630064353
254,Havre-St-Pierre,50.2334,-63.5986,59.36,100,75,11.5,CA,1630064353
255,Coahuayana Viejo,18.7333,-103.6833,74.88,93,91,4.5,MX,1630064354
256,Kanniyākumāri,8.0833,77.5667,81.73,78,95,23.58,IN,1630064354
257,Mayor Pablo Lagerenza,-19.9309,-60.7718,64.47,50,76,2.39,PY,1630064354
258,Ketchikan,55.3422,-131.6461,55.87,100,90,3.44,US,1630064117
259,Getulio Vargas,-32.6796,-53.5494,51.03,68,0,8.88,UY,1630064355
260,Kelvington,52.1667,-103.5343,53.26,82,93,13.29,CA,1630064355
261,Puerto Ayora,-0.7393,-90.3518,67.55,91,76,7.0,EC,1630064355
262,Novogornyy,55.63,60.7919,71.19,65,100,7.87,RU,1630064356
263,Xining,36.6167,101.7667,59.68,46,21,13.96,CN,1630064356
264,Yenagoa,4.9247,6.2642,83.48,72,94,5.99,NG,1630064356
265,Oranjemund,-28.55,16.4333,55.17,60,88,13.67,NA,1630064357
266,Bathsheba,13.2167,-59.5167,82.72,75,48,18.57,BB,1630064357
267,Meulaboh,4.1363,96.1285,79.97,78,67,2.84,ID,1630064357
268,Khoy,38.5504,44.9535,94.12,15,0,4.34,IR,1630064358
269,Zhezkazgan,47.8043,67.7144,89.11,13,0,11.01,KZ,1630064358
270,San Cristobal,7.7669,-72.225,68.18,87,60,2.44,VE,1630064358
271,Maragogi,-9.0122,-35.2225,77.59,73,74,12.68,BR,1630064359
